FIPS,AreaID
06073,CA1
06107,CA10
06031,CA11
06019,CA12
06039,CA13
06109,CA13
06009,CA13
06005,CA13
06027,CA13
06043,CA13
06051,CA13
06003,CA13
06085,CA14
06087,CA14
06069,CA14
06047,CA15
06001,CA16
06013,CA16
06075,CA16
06081,CA16
06041,CA16
06099,CA17
06077,CA18
06067,CA19
06061,CA19
06113,CA19
06017,CA19
06025,CA2
06095,CA20
06097,CA21
06055,CA21
06101,CA22
06115,CA22
06057,CA23
06035,CA23
06063,CA23
06091,CA23
06007,CA24
06045,CA24
06033,CA24
06021,CA24
06011,CA24
06089,CA25
06023,CA25
06103,CA25
06093,CA25
06015,CA25
06105,CA25
06049,CA25
06065,CA3
06071,CA3
06037,CA4
06059,CA4
06111,CA5
06083,CA6
06029,CA7
06079,CA8
06053,CA9
